wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,bplace_continent,date,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,dplace_continent,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,region,is_group,l_,age,non_en_page_views,coefficient_of_variation,value,occupation_rank,occupation_rank_unique,birthyear_rank,birthyear_rank_unique,bplace_country_rank,bplace_country_rank_unique,bplace_name_rank,bplace_name_rank_unique,deathyear_rank,deathyear_rank_unique,dplace_country_rank,dplace_country_rank_unique,dplace_name_rank,dplace_name_rank_unique,id
q385488,1027552,Tomasz_Stańko,Tomasz Stańko,MUSICIAN,29.9690588959766,M,,FALSE,16,19.7022950011704,Rzeszów,50.03333333,22,74604,Poland,,1942-07-11,1942,Warsaw,52.23333333,21.01666667,32908,Poland,,2018-07-29,2018,Poland,,,FALSE,3.03721387285265,77,23651,2.44566630202031,46.9213430629544,975,975,295,295,647,647,3,3,232,232,320,320,100,100,1027552
q435060,2907464,Steve_Albini,Steve Albini,MUSICIAN,1.36009169847206,M,,TRUE,21,17.4505085078065,"Pasadena, California",34.15611111,-118.13194444,18110,United States,,,1962,,,,,,,,,,,,FALSE,2.65392969936844,58,34682,3.39935551269985,39.42811559228,1613,1613,317,317,7762,7762,17,17,,,,,,,2907464
q231259,169602,Billy_Ray_Cyrus,Billy Ray Cyrus,MUSICIAN,0,M,billyraycyrus,TRUE,46,22.4497503308705,"Flatwoods, Kentucky",38.52305556,-82.71944444,115128,United States,,1961-08-25,1961,,,,,,,,,,,,FALSE,4.01325723373863,58,649557,4.71041120744907,56.0639983775823,346,346,37,37,1803,1803,1,1,,,,,,,169602
q506052,471933,Teddy_Wilson,Teddy Wilson,MUSICIAN,7.18488100126015,M,,FALSE,26,20.2497984336233,"Austin, Texas",30.26666667,-97.73333333,1998,United States,,1912-11-24,1912,"New Britain, Connecticut",41.675,-72.78722222,256932,United States,,1986-07-31,1986,United States,,,FALSE,3.84160008107296,107,7100,3.30936435713221,48.7432599153892,817,817,157,157,3962,3962,9,9,120,120,2886,2886,1,1,471933
q549981,184860,Norah_Jones,Norah Jones,MUSICIAN,0,F,norahjones,TRUE,63,19.6845002229165,Manhattan,40.78333333,-73.96666667,45470,United States,,1979-03-30,1979,,,,,,,,,United States,,,FALSE,4.1596120469272,40,288286,5.39398920371092,46.8621277147678,983,983,54,54,4711,4711,54,54,,,,,,,184860
q2635946,29779362,Daniil_Trifonov,Daniil Trifonov,MUSICIAN,12.4472675378001,M,daniil_trifonov,TRUE,15,15.3322222219944,,,,,,,1991-03-05,1991,,,,,,,,,,,,FALSE,5.69161271315828,28,59812,1.59122554867063,32.3791342459673,2009,2009,189,189,,,,,,,,,,,29779362
q920288,505963,Dave_Bartholomew,Dave Bartholomew,MUSICIAN,41.851890586392,,,FALSE,17,20.3215181465339,,,,,,,1918-12-24,1918,"Metairie, Louisiana",29.99777778,-90.1775,115623,,,2019-06-23,2019,,,,FALSE,2.52832649657927,101,31406,2.4202812672361,48.9819202522171,798,798,139,139,,,,,184,184,,,1,1,505963
q7346,53536,John_Coltrane,John Coltrane,MUSICIAN,0,M,,FALSE,58,25.6760411917684,"Hamlet, North Carolina",34.88805556,-79.70611111,128159,United States,,1926-09-23,1926,"Huntington, New York",40.86,-73.35222222,172986,United States,,1967-07-17,1967,,United States,,FALSE,5.34021302996936,93,251564,4.48351812968224,66.8000656639402,71,71,22,22,377,377,1,1,14,14,337,337,1,1,53536
q546956,1005872,James_Jamerson,James Jamerson,MUSICIAN,15.32691616411,M,,FALSE,16,19.2763989258641,"Edisto Island, South Carolina",32.55944444,-80.295,134614,United States,,1936-01-29,1936,Los Angeles,34.05,-118.25,18110,United States,,1983-08-02,1983,,United States,,FALSE,2.59332914717165,83,16998,3.01329472751027,45.5040967207535,1100,1100,285,285,5316,5316,1,1,148,148,3693,3693,381,381,1005872
q539832,220195,Yusef_Lateef,Yusef Lateef,MUSICIAN,2.07992619169686,M,,FALSE,24,20.0262498051571,"Chattanooga, Tennessee",35.04555556,-85.26722222,102797,United States,,1920-10-09,1920,"Shutesbury, Massachusetts",42.45638889,-72.41027778,116783,United States,,2013-12-23,2013,United States,,,FALSE,3.15286205026011,99,10943,3.46119076781049,47.9993613580478,875,875,197,197,4222,4222,2,2,222,222,3077,3077,1,1,220195
